'District 1199c Training','100 S Broad St','8th Floor','','Philadelphia','PA','19110','215.568.2220','','http://www.1199ctraining.org','','6/16/2005','The District 1199C Training and Upgrading Fund plans, develops, and implements, heatlhcare training and preparatory educations programs for union member and members of the community.','','','','','',39.9505233217664,-75.1644376486256
'Greater Philadelphia Realty Board School','2010 Rhawn St','','','Philadelphia','PA','19152','215.722.3400','','','','6/16/2005','PA approved Real Estate School','google','','','','',40.0612604825781,-75.0557071642615
'Harrison Career Institute','1619 Walnut St','','','Philadelphia','PA','19103','215.640.0177','','http://hci.edu','','6/16/2005','','google','','','','',39.950095546677,-75.1683683420078
'International Bartending Inst','7708 City Ave','Suite 200','','Philadelphia','PA','19151','215.878.1300','','http://www.barinst.com','','6/16/2005','','yellowpages','','','','',39.9771954061688,-75.2742779167665
'Main Line Ctr For Bartending','4400 Baker St','','','Philadelphia','PA','19127','215.487.1229','','','','6/16/2005','','google','','','','',40.0268536082098,-75.2245236992635
'Making It','9523 Bustleton Ave','','','Philadelphia','PA','19115','215.552.9534','','http://www.makingitsewingworkshop.com','anna@makingitsewingworkshops.com','6/21/2005','Sewing Workshops and Instruction','google','','','','',40.0857829368293,-75.0365581751953
'Orleans Technical Institute','1330 Rhawn St','','','Philadelphia','PA','19111','215.728.4700','','http://www.jevs.org/schools_svs.asp','','6/16/2005','','google','','','','',40.0667814166012,-75.0667691619378
"Pearl's Sew Unique Inc",'1430 W Cheltenham Ave','','','Philadelphia','PA','19126','215.276.9141','','','','6/16/2005','Sewing Instruction','google','','','','',40.063680886783,-75.1405875479021
'Phila High School Academies','230 S Broad St','13th Floor','','Philadelphia','PA','19102','215.546.6300','','http://www.academiesinc.org/','','6/16/2005','','google','','','','',39.9484116376572,-75.165056798927
'Philadelphia Aid Training School','7216 Germantown Ave','','','Philadelphia','PA','19119','215.248.4560','','','','6/16/2005','','google','','','','',40.0602590331924,-75.1913889730467
'Philadelphia School of Bartending','10050 Roosevelt Blvd','','','Philadelphia','PA','19116','800.960.6294','215.969.1368','http://www.barmaster.com/','','6/16/2005','','google','','','','',40.0961504668667,-75.0155732570232
'Philadelphia Wireless Technical Institute','1533 Pine St','','','Philadelphia','PA','19102','215.546.0745','','','','6/16/2005','','google','','','','',39.9461423111694,-75.1679440709136
'Presbyterian Medical Center','39th St & Market St','','','Philadelphia','PA','19104','215.662.9485','','http://www.pennhealth.com/presby/ms.html','','6/16/2005','','google','','','','',39.9568617536928,-75.199623151243
'Professional Nurse Training Center','6334 Stenton Ave','','','Philadelphia','PA','19138','215.549.1668','','','','6/16/2005','','google','','','','',40.0593904657868,-75.1658317178735
'Real Estate Institute: Temple','1616 Walnut St','','','Philadelphia','PA','19103','215.204.1539','','http://www.temple.edu/tucc/noncredit/rei/','','6/16/2005','','google','','','','',39.9495789454755,-75.1684771761013
"Ronnies Bartenders' School",'712 S 4th St','','','Philadelphia','PA','19107','','','','','6/16/2005','','google','','','','',39.9402351559926,-75.1497159386269
'Roxborough Memorial Hospital Nursing School','5800 Ridge Ave','','','Philadelphia','PA','19128','215.487.4344','215.487.4221','http://www.roxboroughmemorial.com','','6/16/2005','','google','','','','',40.0291457238796,-75.2120207960088
'Smith & Solomon School Tractor Trailer Driving','1130 Franklin Mills Cir','','','Philadelphia','PA','19154','215.281.8960','','http://www.smithsolomon.com','','6/16/2005','','google','','','','',40.0812608531237,-74.9628518451926
'Sprinkler Industry Apprentice','14002 Mcnulty Rd','','','Philadelphia','PA','19154','215.673.9565','215.673.9598','http://www.apprentice.org/spfitr1.htm','jrm692jatc@aol.com','6/16/2005','','google','','','','',40.1074513672056,-74.9750824885949
'St Maria Goretti High School','1736 S 10th St','','','Philadelphia','PA','19148','215.465.8437','','http://www.goretti.com','','6/16/2005','','google','','','','',39.9275420232936,-75.1619974496777
'Thompson Institute','3440 Market St','','','Philadelphia','PA','19104','215.387.1530','215.594.4088','http://www.thompson.edu','','6/16/2005','','google','','','','',39.9555802120829,-75.193029255194
'Tradeswomen Of Purpose','2302 Alter St','','','Philadelphia','PA','19146','215.545.3700','215.545.8713','http://www.topwininc.org','topwin1@aol.com','6/16/2005','','google','','','','',39.9390947510394,-75.1823542128685
'Tri-City Barber School Inc','5901 N Broad St','','','Philadelphia','PA','19141','215.927.3232','','','','6/16/2005','','google','','','','',40.0429618452183,-75.1434531965907
'Universal Center for Employment Training','1427 Catharine St','','','Philadelphia','PA','19146','215.546.1880','','','','6/16/2005','','google','','','','',39.9411960628107,-75.1670830644887
'World Communications Charter School','512 S Broad St','','','Philadelphia','PA','19146','215.735.3198','','http://www.phila.k12.pa.us/charter_schools/mission.html','charters@phila.k12.pa.us.','6/16/2005','','google','','','','',39.9440029414512,-75.1664804286735
'Apprentice Training for Electrical Industry','2150 N 3rd St','','','Philadelphia','PA','19148','215.339.8316','','http://www.nationalponsi.org/ccr/Listings/phil_jatc_home.htm','','6/16/2005','','google','','','','',39.9836868754473,-75.1392912970645
'Berean Institute','1901 W. Girard Ave','','','Philadelphia','PA','19130','215.763.4833','','http://www.bereaninstitute.org/','','6/16/2005','','http://www.trfund.com/workforce/best.internships.participating.htm','','','','',39.9729593924977,-75.1685309454258
'Elwyn, Inc. Vocational Training','4040 Market St','','','Philadelphia','PA','19104','215.895.5586','','http://www.elwyn.org','','6/16/2005','','www.elwyn.org','','','','',39.956910470941,-75.2036957327561
'Center for Innovation Training and Education (CITE)','714 Market St','Ste 433','','Philadelphia','PA','19106','215.922.6555','215.292.1882','','','','','','','','','',39.9505023882254,-75.1528128518375
'American Center for Technical Arts and Sciences','2375 Welsh Rd','','','Philadelphia','PA','19114','215.969.9000','215.969.9044','http://www.actas.net/','','6/22/2005','Medical and Paralegal career training','','','','','Free Parking Available',40.0728361454196,-75.0328291534726
