category,subcategory,subcategory_url,name,websites,phones,address,zipcode,emails,description
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Community Council Health Systems: Community Council for Mental Health and Mental Retardation information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CommunityCouncilHealthSystemsCommunityCouncilforMentalHealthandMentalRetardation_1147_12_0,http://ccmhmr.org/","(215) 295-8869","4900 Wyalusing Avenue  Philadelphia , PA  19131 ","19131","","Community Council Health Systems: Community Council for Mental Health and Mental Retardation information provided by: the Pennsylvania Prison Society The mission of Community Council is to provide comprehensive mental health and educational services for adults and children. All services are designed to be holistic, geographically accessible, culturally sensitive, and coordinated with other related service systems, both formal and informal. Community Council has a long history of providing mental health services to Philadelphia residents and is one of the City of Philadelphia’s original 12 Base Service Units. We provide a range of mental health and substance abuse direct services and case management. It now boasts of 10 children’s services and five adult programs. The organization has a total diverse staff of 450 people that have particular cultural competence in working with the African American community. The agency serves over 3500 consumers (adult and children) on a weekly basis. "
"Employment","Career Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=ND-2000.1500-160&cid=38538","Baker Industries information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=BakerIndustries_1147_12_0,http://bakerindustries.org/","(Ask for Beth)  (610) 296-9795  ,Ask for Chavonne  (215)-291-5700 ","184 Pennsylvania Avenue  Malvern , PA  19355 ","19355","info@bakerindustries.org ","Baker Industries information provided by: the Pennsylvania Prison Society Baker Industries sets the standard for excellence performing assembly, packaging, fulfillment and temporary staffing. They offer a well-supervised, well-practiced and extremely work-ready staff capable of a meticulous and intelligent response to your needs. Whether you need simple hand assembly or an entire offsite department, Baker Industries has the labor pool and ability to provide you within-time, high-quality, cost-effective solutions. Must bring 2 forms of picture ID This listing was updated by the PA Prison Society. "
"Employment","Career Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=ND-2000.1500-160&cid=38538","Baker Industries information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=BakerIndustries_1147_12_0,http://bakerindustries.org/","(Ask for Beth)  (610) 296-9795  ,Ask for Chavonne  (215)-291-5700 ","3506 F Street  Philadelphia , PA  19134 ","19134","info@bakerindustries.org ","Baker Industries information provided by: the Pennsylvania Prison Society Baker Industries sets the standard for excellence performing assembly, packaging, fulfillment and temporary staffing. They offer a well-supervised, well-practiced and extremely work-ready staff capable of a meticulous and intelligent response to your needs. Whether you need simple hand assembly or an entire offsite department, Baker Industries has the labor pool and ability to provide you within-time, high-quality, cost-effective solutions. Must bring 2 forms of picture ID This listing was updated by the PA Prison Society. "
"Behavioral & Mental Health","General Counseling Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.2500&cid=38542","MINSEC Outpatiant Services information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=MINSECOutpatiantServices_1147_12_0","(215) 744-9601 ","1331 East Wyoming Avenue Philadelphia , PA  19124 ","19124","abrown@minsec.us ","MINSEC Outpatiant Services information provided by: the Pennsylvania Prison Society Provides general medical care at the Parkview Hospital Campus"
"Behavioral & Mental Health","General Counseling Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.2500&cid=38542","North Philadelphia Health System information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=NorthPhiladelphiaHealthSystem_1147_12_0,http://www.nphs.com/","(215) 787-2000  ","1st Floor, ADC Bldg.   Philadelphia , PA  19122 ","19122","","North Philadelphia Health System information provided by: the Pennsylvania Prison Society Provides quality healthcare through prevention, education, and enactment in their hospital and community, including services and special programs for persons with behavioral medical disorders and/or extended acute medical conditions. We offer these services in a manner that is spiritually and culturally sensitive and responsive to community needs. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Columibia North YMCA information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ColumibiaNorthYMCA_1147_12_0,https://philaymca.org/branches/columbia-north/","(215) 235-6550  ","1400 N. Broad St.  Philadelphia , PA  19121 ","19121","blawson@philaymca.org ","Columibia North YMCA information provided by: the Pennsylvania Prison Society Provides counseling services. "
"Behavioral & Mental Health","Disability Related Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-170&cid=38542","Northwestern Human Services Philadelphia information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=NorthwesternHumanServicesPhiladelphia_1147_12_0,http://www.nhsonline.org/","(215) 248-6700  ","27 East Mount Airy Avenue  Philadelphia , PA  19128 ","19128","easternregion@nhsonline.org ","Northwestern Human Services Philadelphia information provided by: the Pennsylvania Prison Society NHS offers a full range of integrated services in the areas of mental health, addictive diseases, autism, education, intellectual/developmental disabilities, juvenile justice, therapeutic family care and other specialized services. "
"Behavioral & Mental Health","Community Mental Health Agencies","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RM-6500.1500&cid=38542","Philadelphia Department of Behavioral Health and Intellectual disAbility Services (DBHIDS) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PhiladelphiaDepartmentofBehavioralHealthandIntellectualdisAbilityServicesDBHIDS_1147_12_0,http://dbhids.org/","(888) 545-2600 ","1101 Market Street, 8th Floor  Philadelphia , PA  19107 ","19107","","Philadelphia Department of Behavioral Health and Intellectual disAbility Services (DBHIDS) information provided by: the Pennsylvania Prison Society DBHIDS components provide services through a network of agencies while collaborating with the Philadelphia School District, child welfare and judicial systems, and other stakeholders. "
"Family Services","Family Violence Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-4500.1800&cid=38539","CHOICE information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CHOICE_1147_12_0","(215) 985-3356 x 124","1233 Locust St.  Philadelphia , PA  19107 ","19107","info@choice-phila.org  ","CHOICE information provided by: the Pennsylvania Prison Society Provides: children and family services, domestic/sexual violence education, drug/alcohol treatment, education, health information, re-entry services, and reproductive health information. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Intercommunity Action, Inc. information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=IntercommunityActionInc_1147_12_0,http://intercommunityaction.org/","(215) 487-1330  ","6012 Ridge Avenue (main)  Philadelphia , PA  19128 ","19128","info@intercommunityaction.org ","Intercommunity Action, Inc. information provided by: the Pennsylvania Prison Society Interact has more than two dozen individual programs and more than 400 staff working to fulfill their mission and to meet the needs of their consumers. Journey's Way, their service to older adults, provides programs for active adults ages 55+, affordable housing for lower income adults age 62 and older, and assistive services for more frail elderly. Behavioral Health Services are coordinated through their Greenridge Counseling Center, which serves children and adults in a variety of outpatient, home, school, and community settings. And their services for people with intellectual and developmental disabilities include community residential living arrangements, a day activities center, and supportive employment services. "
"Employment","Job Training","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=ND-2000.3500&cid=38538","Southern Lehigh Action Council information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=SouthernLehighActionCouncil_1147_12_0","(215) 229-2828 ","2213 Sergeant St.  Philadelphia , PA  19132 ","19132","","Southern Lehigh Action Council information provided by: the Pennsylvania Prison Society Helps people who are at risk of eviction or homelessness, and people who have received notices of shut off from a utility company, due to insufficient income. Provides case management, emergency housing, and job development assistance "
"Substance Abuse","Residential Substance Abuse Treatment Facilities","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RX-8450.7000&cid=38535","Gaudenzia West Chester information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=GaudenziaWestChester_1147_12_0,http://www.gaudenzia.org/","(610) 399-6929  ","1030 S. Concord Road  West Chester , PA  19380 ","19380","","Gaudenzia West Chester information provided by: the Pennsylvania Prison Society Provides inpatient services for men and women. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Consortium, Inc. information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ConsortiumInc_1147_12_0,http://www.consortium-inc.org/home.html","(215) 596-8100 ","3801 Market St./451 University Ave.  Philadelphia , PA  19104 ","19104","consorlp@magpage.com ","Consortium, Inc. information provided by: the Pennsylvania Prison Society The Consortium, Inc. is a nonprofit Community Mental Health Center incorporated in 1967. Our focus is directed towards delivering services to our neighbors in West and Southwest Philadelphia, and throughout the City. We are here to serve your behavioral health care needs regardless of income. We provide behavioral health care programs and services for children, adults, and senior citizens. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Intercultural Family Services information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=InterculturalFamilyServices_1147_12_0,http://www.ifsinc.org","(215) 386-1298 ","4225 Chestnut St.  Philadelphia , PA  19104 ","19104","ifsi@ifsinc.org ","Intercultural Family Services information provided by: the Pennsylvania Prison Society Intercultural Family Services, Inc. (Intercultural) is an independent non-profit 501 (c)(3) human services agency founded in 1979. Since this time we have been committed to serving the needs of children and families in the Greater Philadelphia area. Through a broad array of culturally competent, collaborative, family-centered programs, we empower the people we serve with the ability to meet the challenges of everyday life and to build a firm foundation for a bright future. We look forward to forging stronger, more creative, and new partnerships in the public and private sectors. "
"Behavioral & Mental Health","Disability Related Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-170&cid=38542","WES Health Systems (Dr. Warren E. Smith Health Centers) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=WESHealthSystemsDrWarrenESmithHealthCenters_1147_12_0,http://www.drwes.org/philadelphia.aspx","(215) 456-2644","1315 Windrim Avenue   Philadelphia  , PA  ","","moreinfo@drwes.org  ","WES Health Systems (Dr. Warren E. Smith Health Centers) information provided by: the Pennsylvania Prison Society Various facilities throughout Philadelphia to assist those with behavioral health, substance abuse, and mental retardation issues. Some services are for women only.  "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Congresso de Latinos Unidos information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CongresodeLatinosUnidos_1147_12_0,http://www.congreso.net/site/","(215) 763-8870  ","216 W. Somerset St.  Philadelphia , PA  19133 ","19133","","Congresso de Latinos Unidos information provided by: the Pennsylvania Prison Society All inclusive services with emphasis on helping the Latino Community. All services are fully Bilingual(English and Spanish). Call main general number to be transferred to appropriate help. "
"Behavioral & Mental Health","Ex-Offender Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-185&cid=38542","Reading Specialists Offender Treatment Services (RSOTS) (Formerly Pennsylvania Forensics) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ReadingSpecialistsOffenderTreatmentServicesRSOTSFormerlyPennsylvaniaForensics_1147_12_0,http://www.rsots.com/index.html","(610) 372-7960   ","220 N. 5th Street   Reading  , PA  ","","GeneralMailbox@RSOTS.com  ","Reading Specialists Offender Treatment Services (RSOTS) (Formerly Pennsylvania Forensics) information provided by: the Pennsylvania Prison Society RSOTS provides a full continuum of offender treatment services to adolescents and adults.  "
"Behavioral & Mental Health","Ex-Offender Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-185&cid=38542","Resources for Human Development: Womanspace Philadelphia information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ResourcesforHumanDevelopmentWomanspacePhiladelphia_1147_12_0","(215) 844-2400  ","6400 Germantown Ave.   Philadelphia  , PA  ","","jury@rhd.org, robert.fishman@rhd.org, stan@RHD.ORG   ","Resources for Human Development: Womanspace Philadelphia information provided by: the Pennsylvania Prison Society Individual/group therapy, relapse prevention, criminal justice counseling, life skills training, parenting training, stress management, mental health/nutrition education, and aftercare planning/placement. Services provided for women over 18 who are homeless Philadelphia residents involved with the Philadelphia criminal justice system.  "
"Behavioral & Mental Health","Family Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-2000&cid=38542","Columibia North YMCA information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ColumibiaNorthYMCA_1147_12_0,https://philaymca.org/branches/columbia-north/","(215) 235-6550  ","1400 N. Broad St.  Philadelphia , PA  19121 ","19121","blawson@philaymca.org ","Columibia North YMCA information provided by: the Pennsylvania Prison Society Provides counseling services. "
"Substance Abuse","Substance Abuse Treatment Programs","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RX-8450&cid=38535","Wedge Recovery Centers: Frankford Office information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=WedgeRecoveryCentersFrankfordOffice_1147_12_0,http://www.wedgepc.com/index.php","(215) 744-3600   ","4243 Frankford Ave   Philadelphia  , PA  ","","pcoy@wedgepc.com  ","Wedge Recovery Centers: Frankford Office information provided by: the Pennsylvania Prison Society Provides intensive outpatient and outpatient facilities alongside drug & alcohol/dual diagnosis services.   "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Jewish Family and Children's Service information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensService_1147_12_0,http://www.jfcsphilly.org/","(866) 532-7669  ","2100 Arch st  Philadelphia , PA  19103 ","19103","info@jfcsphilly.org ","Jewish Family and Children's Service information provided by: the Pennsylvania Prison Society Jewish Family and Children's Service of Greater Philadelphia offers a diverse array of services to help children, adults, seniors, and families cope with challenges that arise throughout the lifecycle.  "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","JFK Community MH/MR Center information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JFKCommunityMHMRCenter_1147_12_0,http://www.jfkbhc.org/","(215) 568-0860 3342 ","112 North Broad Street  Philadelphia , PA  19102 ","19102","jwilliamson@jfkbhc.org ","JFK Community MH/MR Center information provided by: the Pennsylvania Prison Society Provides high quality services to residents of Philadelphia who need behavioral health treatment. JFK provides a safe, caring therapeutic atmosphere for clients. We offer services to adults, children, and their families. "
"Behavioral & Mental Health","General Counseling Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.2500&cid=38542","Casa De Consejera y Salud Integral, Inc. information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CasaDeConsejeraySaludIntegralInc_1147_12_0","(215) 634-3259  ","213 West Allegheny Avenue  Philadelphia , PA  19133 ","19133","","Casa De Consejera y Salud Integral, Inc. information provided by: the Pennsylvania Prison Society Provides the Latino families and others living in North Philadelphia with an agency specialized on counseling and social services that helps every member of the family to use their capabilities and abilities to the maximum in the psychological, social, cultural, educational and spiritual areas through the use of the holistic approach. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Jewish Family and Children's Services: Arch Street information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensServicesArchStreet_1147_12_0,http://www.jfcsphilly.org/","(267) 256-2100 ","2100 Arch St., 5th Fl.  Philadelphia , PA  19103 ","19103","","Jewish Family and Children's Services: Arch Street information provided by: the Pennsylvania Prison Society Provides a variety of mental health Services including substance abuse counseling, prevention programming in a peer group setting and more. "
"Behavioral & Mental Health","Family Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-2000&cid=38542","Joshua Achievement Center: West Banks information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JoshuaAchievementCenterWestBanks_1147_12_0","(215) 235-1394 ext. 844 ","2016 W. Berks Street  Philadelphia , PA  19121 ","19121","","Joshua Achievement Center: West Banks information provided by: the Pennsylvania Prison Society Provides information, interviews, and intake for children and family services, drug and alcohol treatment, education, employment services, housing, and residential transitional services; information for pregnant mothers about housing and education. "
"Behavioral & Mental Health","Family Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-2000&cid=38542","Hispanic Community Counseling Services information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=HispanicCommunityCounselingServices_1147_12_0,http://www.hccsphila.org","(215) 739-7599  ","3221 Keinsington Ave  Philadelphia , PA  19134 ","19134","postmaster@hccsphila.org ","Hispanic Community Counseling Services information provided by: the Pennsylvania Prison Society Provides mental health services for the Latin community of Northern Philadelphia. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Jewish Family and Children's Services: Veree Road information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensServicesVereeRoad_1147_12_0","(215) 934-5551 ","10125 Veree Rd, Suite 304  Philadelphia , PA  19116 ","10125","www.jfcsphil.org ","Jewish Family and Children's Services: Veree Road information provided by: the Pennsylvania Prison Society Provides a variety of mental health Services including substance abuse counseling, prevention programming in a peer group setting and more. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Jewish Family and Children's Services: North Broad Street information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensServicesNorthBroadStreet_1147_12_0,http://www.jfcsphilly.org/","(267) 2560-2200 ","Progress Plaza, 1501 N Broad St., #14  Philadelphia , PA  19122 ","19122","","Jewish Family and Children's Services: North Broad Street information provided by: the Pennsylvania Prison Society Provides a variety of mental health Services including substance abuse counseling, prevention programming in a peer group setting and more. "
"Behavioral & Mental Health","Family Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-2000&cid=38542","JFK Community MH/MR Center information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JFKCommunityMHMRCenter_1147_12_0,http://www.jfkbhc.org/","(215) 568-0860 3342 ","112 North Broad Street  Philadelphia , PA  19102 ","19102","jwilliamson@jfkbhc.org ","JFK Community MH/MR Center information provided by: the Pennsylvania Prison Society Provides high quality services to residents of Philadelphia who need behavioral health treatment. JFK provides a safe, caring therapeutic atmosphere for clients. We offer services to adults, children, and their families. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Joshua Achievement Center: West Banks information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JoshuaAchievementCenterWestBanks_1147_12_0","(215) 235-1394 ext. 844 ","2016 W. Berks Street  Philadelphia , PA  19121 ","19121","","Joshua Achievement Center: West Banks information provided by: the Pennsylvania Prison Society Provides information, interviews, and intake for children and family services, drug and alcohol treatment, education, employment services, housing, and residential transitional services; information for pregnant mothers about housing and education. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Joshua Achievement Center: North Broad information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JoshuaAchievementCenterNorthBroad_1147_12_0","(215) 765-7321 ","2221 N Broad St. 2nd Fl  Philadelphia , PA  19132 ","19132","","Joshua Achievement Center: North Broad information provided by: the Pennsylvania Prison Society Provides information, interviews, and intake for children and family services, drug and alcohol treatment, education, employment services, housing, and residential transitional services; information for pregnant mothers about housing and education. "
