'Youth Outreach Adolescene Community AIDS Program','1207 Chestnut Street','Suite 700','','Philadelphia','PA','19107','215.851.1878','215.8511832','coalition@gpuac.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9507312051019,-75.160504575724
'Confidential Aids Testing','1211 Chestnut Street','Suite 801','','Philadelphia','PA','19107','215.246.5210','.','www.healthfederation.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9507606488598,-75.1607139852845
'Mazzoni Clinic','1201 Chestnut Street','','','Philadelphia','PA','19107','215.563.2424','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9507078122696,-75.1603199140269
'CHOICE Hotline','1233 Locust Street','Suite 301','','Philadelphia','PA','19107','215.985.3350 (spanish)','800.662.6080','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9480845907979,-75.1617579604554
'Subsidized Rental Housing for HIV','207 North Broad Street','','','Philadelphia','PA','19107','215.569.8414','.','www.comhar.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9564982722457,-75.1623224636788
'Shelter','1225 Race Street','','','Philadelphia','PA','19107','215.569.1101','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9561020061192,-75.1600964670138
'HIV/AIDS Support Groups','3901 Market Street','','','Philadelphia','PA','19107','215.981.0088','.','www.actionaids.org','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9574067874341,-75.2006937544426
'HIV/AIDS Support Groups','1216 Arch Street','','','Philadelphia','PA','19107','215.981.0088','.','www.actionaids.org','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9537207374412,-75.1603299751614
'HIV/AIDS Counseling','10125 Verree Road','Suite 304','','Philadelphia','PA','19116','215.546.3737','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',40.1056114234127,-75.0301420312052
'Girl Talk','1632 West Diamond Street','','','Philadelphia','PA','19121','215.763.3680','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9850787249496,-75.1612120543431
'HIV/AIDS Prevention Case Management','1722 Cecil B. Moore Avenue','','','Philadelphia','PA','19121','215.236.9911','.','www.wcafamily.org','','6/20/2005','HIV/AIDS Outreach','','','','','',39.979191471149,-75.1639281879182
'Confidential HIV/AIDS Testing','1632 West Diamond Street','2nd Floor','','Philadelphia','PA','19121','215.763.3680','.','www.wifamilyhealth.org','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9850787249496,-75.1612120543431
'HIV/AIDS Educational and Counseling Outreach','2147 North 6th Street','','','Philadelphia','PA','19122','215.235.6788','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9842842180921,-75.1437024195775
'Anonymous HIV Testing and Couseling','1217 Spring Garden Street','','','Philadelphia','PA','19123','215.769.3561','.','','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9622794988141,-75.1585618711671
'Spirtual Services for People Infected or Affected by AIDS','1133 Spring Garden Street','','','Philadelphia','PA','19123','215.765.6633','.','','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9621755275912,-75.1571204180952
'Peer-based HIV/AIDS Services','2308 North Broad Street','','','Philadelphia','PA','19132','215.227.6648','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9881670176463,-75.1561673117594
'Circle of Care/Care Plus Clinic','2840 Dauphin Street','','','Philadelphia','PA','19132','215.978.2423','215.9782422','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9904965819491,-75.179146765476
'HIV/AIDS Mental Health Services','100 West Lehigh Avenue','','','Philadelphia','PA','19133','215.569.3000','.','www.comhar.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9905517763911,-75.1314151684017
'HIV/AIDS Support Groups','2718 North 5th Street','','','Philadelphia','PA','19133','215.291.9700','.','www.actionaids.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9929420451509,-75.140260152598
'Programa Esfuerzo','216 West Somerset Street','','','Philadelphia','PA','19133','215.763.8870','.','','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9929444575278,-75.1354183581946
'Teen Alive Project (TAP)','Wayne Avenue & Chelten Avenue','C.E. Picket Middle School','','Philadelphia','PA','19144','215.951.4187','215.9514191','','','6/20/2005','HIV/AIDS Outreach','','','','','',40.0317380675274,-75.1789146642061
'AIDS Prevention and Education Program','100 West School House Lane','','','Philadelphia','PA','19144','215.754.4791','.','www.psd.org/framesccps.html','','6/20/2005','HIV/AIDS Outreach','','','','','',40.032184846832,-75.1748416818412
'Anonymous HIV Testing and Couseling','419 South 15th Street','','','Philadelphia','PA','19146','215.545.4331','.','','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9450693471474,-75.1666396946609
'STD Examinations and Treatment','1400 Lombard Street','','','Philadelphia','PA','19146','215.685.6570','.','','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9445429381451,-75.1657034826758
'Safe Haven','1914 North 63rd Street','','','Philadelphia','PA','19151','215.879.7740','.','','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9840790167088,-75.2476342258479
'Preventing Aids Through Live Movement and Sound','260 South Broad Street','18th floor','','Philadelphia','pA','19102','215.731.2174','.','','info@phmc.org','6/15/2005','HIV/AIDS Outreach','','','','','',39.9472751478657,-75.1651999402849
'Housing refferal program','6055 N. 5th Street','','','Philadelphia','PA','19120','215.276.8830','.','www.koreancenter.org','','6/15/2005','HIV/AIDS Outreach','','','','','',40.0439355465348,-75.1285545998419
'HIV/Aids Risk Reduction','4601 Market Street','2nd Floor','','Philadelphia','PA','19139','215.476.9640','215.4718029','www.seamacc.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9591298247377,-75.2131338903053
'HIV Aids Prevention Maze','2239 N. Broad Street','','','Philadelphia','PA','19132','215.765.6633','.','','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9873117308063,-75.1555073487947
